bubbleRating,category,detailUrl,entityType,experiencesCtaEncodedLink,experiencesCtaNumOffers,experiencesCtaStartingCost,id,name,numReviews,openHours,latitude,longitude,count_review,lang_review,,,,,
50,,/Attraction_Review-g298484-d2173371-Reviews-Moscow_Private_Tours-Moscow_Central_Russia.html,attraction,,0,,2173371,Частные туры по Москве,1283,9:00 - 22:00,55.75520706,37.62030029,1283,Английский(1 042)Португальский(65)Русский(31),Английский1 042,Португальский65,Русский31,,
50,Кулинарные мастер-классы,/Attraction_Review-g298484-d4074811-Reviews-Culinary_Studio_CulinaryOn-Moscow_Central_Russia.html,attraction,,0,,4074811,Кулинарная студия CulinaryOn,1207,10:00 - 0:00,55.75780487,37.58269501,1207,Русский(1 158)Английский(43)Итальянский(4),Русский1 158,Английский43,Итальянский4,,
45,Сады,/Attraction_Review-g298484-d530940-Reviews-Aleksandrovskiy_Sad-Moscow_Central_Russia.html,attraction,,0,,530940,Александровский сад,1127,,55.75527954,37.61582184,1127,Русский(602)Английский(223)Испанский(85),Русский602,Английский223,Испанский85,,
45,Музеи искусств,/Attraction_Review-g298484-d300583-Reviews-New_Tretyakov_Gallery-Moscow_Central_Russia.html,attraction,,0,,300583,Новая Третьяковка,1120,10:00 - 18:00,55.73506927,37.60638809,1120,Русский(721)Английский(216)Испанский(40),Русский721,Английский216,Испанский40,,
45,,/Attraction_Review-g298484-d1641282-Reviews-Flotilla_Radisson_Royal-Moscow_Central_Russia.html,attraction,,0,,1641282,Флотилия Рэдиссон Ройал,1080,,55.7519989,37.56983948,1080,Русский(624)Английский(267)Итальянский(57),Русский624,Английский267,Итальянский57,,
45,Парки,/Attraction_Review-g298484-d300387-Reviews-Victory_Park-Moscow_Central_Russia.html,attraction,,0,,300387,Парк Победы,1070,,55.7309494,37.51377869,1070,Русский(610)Английский(265)Испанский(56),Русский610,Английский265,Испанский56,,
40,Блошиные и уличные рынки,/Attraction_Review-g298484-d300378-Reviews-Izmailovsky_Market-Moscow_Central_Russia.html,attraction,,0,,300378,Измайловский рынок,1042,9:00 - 18:00,55.79423904,37.75077438,1042,Английский(490)Испанский(110)Русский(91),Английский490,Испанский110,Русский91,,
45,Специализированные музеи,/Attraction_Review-g298484-d2559893-Reviews-Muzeon_Art_Park-Moscow_Central_Russia.html,attraction,,0,,2559893,Парк Музеон,1019,,55.73380661,37.60615158,1019,Русский(777)Английский(149)Китайский (традиц.)(39),Русский777,Английский149,Китайский традиц.,(39,
45,Парки,/Attraction_Review-g298484-d565309-Reviews-Sokolniki_Park-Moscow_Central_Russia.html,attraction,,0,,565309,Парк Сокольники,1015,,55.79111099,37.66707993,1015,Русский(868)Английский(91)Китайский (упрощ.)(26),Русский868,Английский91,Китайский упрощ.,(26,
45,"Культурные объекты и достопримечательности, Архитектурные достопримечательности, Смотровые площадки и башни",/Attraction_Review-g298484-d549345-Reviews-Ostankino_TV_Tower-Moscow_Central_Russia.html,attraction,,0,,549345,Останкинская телебашня,939,10:00 - 21:00,55.81959534,37.61213684,939,Русский(694)Английский(134)Китайский (упрощ.)(37),Русский694,Английский134,Китайский упрощ.,(37,
40,Специализированные музеи,/Attraction_Review-g298484-d2342326-Reviews-Moscow_Planetarium-Moscow_Central_Russia.html,attraction,,0,,2342326,Московский планетарий,912,,55.76126099,37.58455276,912,Русский(833)Английский(59)Итальянский(7),Русский833,Английский59,Итальянский7,,
45,Специализированные музеи,/Attraction_Review-g298484-d300341-Reviews-Kuskovo_Estate-Moscow_Central_Russia.html,attraction,,0,,300341,Усадьба Кусково,883,,55.73534775,37.80775452,883,Русский(795)Английский(67)Итальянский(5),Русский795,Английский67,Итальянский5,,
40,Парки,/Attraction_Review-g298484-d12946851-Reviews-Park_Zaryadye-Moscow_Central_Russia.html,attraction,,0,,12946851,"Парк ""Зарядье""",877,0:00 - 23:59,55.75151825,37.62868118,877,Русский(725)Английский(76)Французский(15),Русский725,Английский76,Французский15,,
50,Такси и маршрутные автобусы,/Attraction_Review-g298484-d7268999-Reviews-LingoTaxi-Moscow_Central_Russia.html,attraction,,0,,7268999,LingoTaxi,874,0:00 - 23:59,55.73364639,37.40324783,874,Английский(609)Испанский(94)Русский(20),Английский609,Испанский94,Русский20,,
45,"Исторические достопримечательности, Исторические места для прогулок",/Attraction_Review-g298484-d300409-Reviews-Cathedral_Square-Moscow_Central_Russia.html,attraction,,0,,300409,Соборная площадь,803,,55.75072098,37.61772537,803,Английский(270)Русский(177)Испанский(87),Английский270,Русский177,Испанский87,,
40,"Военные музеи, Исторические достопримечательности, Исторические музеи",/Attraction_Review-g298484-d2141443-Reviews-Bunker_42_Cold_War_Museum_at_Taganka-Moscow_Central_Russia.html,attraction,,0,,2141443,Музей Холодной войны в Бункер-42 на Таганке,788,12:00 - 21:30,55.74167252,37.64897537,788,Английский(326)Русский(276)Китайский (упрощ.)(57),Английский326,Русский276,Китайский упрощ.,(57,
45,Специализированные музеи,/Attraction_Review-g298484-d3671557-Reviews-Jewish_Museum_and_Tolerance_Center-Moscow_Central_Russia.html,attraction,,0,,3671557,Еврейский музей и центр толерантности,782,12:00 - 22:00,55.78939819,37.60742188,782,Русский(561)Английский(162)Испанский(21),Русский561,Английский162,Испанский21,,
45,Эскейп-квесты,/Attraction_Review-g298484-d6160760-Reviews-Claustrophobia-Moscow_Central_Russia.html,attraction,,0,,6160760,Клаустрофобия,765,0:00 - 23:59,55.74499893,37.63098526,765,Русский(710)Английский(48)Французский(4),Русский710,Английский48,Французский4,,
50,Эскейп-квесты,/Attraction_Review-g298484-d6901846-Reviews-Cubiculum-Moscow_Central_Russia.html,attraction,,0,,6901846,Кубикулум,763,12:00 - 23:59,55.80495453,37.58577347,763,Русский(704)Английский(51)Испанский(5),Русский704,Английский51,Испанский5,,
45,Парки,/Attraction_Review-g298484-d314368-Reviews-Patriarch_s_Pond-Moscow_Central_Russia.html,attraction,,0,,314368,Патриаршие пруды,753,,55.76448059,37.59273148,753,Русский(588)Английский(105)Французский(13),Русский588,Английский105,Французский13,,
45,Представления,/Attraction_Review-g298484-d300375-Reviews-Nikulin_Moscow_Circus_on_Tsvetnoi_Bulvar-Moscow_Central_Russia.html,attraction,,0,,300375,Московский цирк Никулина на Цветном бульваре,749,11:00 - 19:00,55.77056122,37.6199379,749,Русский(443)Английский(208)Китайский (упрощ.)(29),Русский443,Английский208,Китайский упрощ.,(29,
45,Культурные объекты и достопримечательности,/Attraction_Review-g298484-d7028999-Reviews-Moscow_City-Moscow_Central_Russia.html,attraction,,0,,7028999,Москва-Сити,731,,55.74811172,37.5384903,731,Русский(524)Английский(78)Итальянский(33),Русский524,Английский78,Итальянский33,,
45,Специализированные музеи,/Attraction_Review-g298484-d10049898-Reviews-Historical_Park_Russia_My_History-Moscow_Central_Russia.html,attraction,,0,,10049898,Исторический парк Россия-Моя история,730,11:00 - 20:00,55.83425903,37.62620926,730,Русский(700)Английский(11)Немецкий(4),Русский700,Английский11,Немецкий4,,
45,,/Attraction_Review-g298484-d15663546-Reviews-State_Historical_Museum-Moscow_Central_Russia.html,attraction,,0,,15663546,Государственный исторический музей (State Historical Museum),702,,55.75627136,37.61695862,702,Русский(335)Английский(187)Китайский (упрощ.)(46),Русский335,Английский187,Китайский упрощ.,(46,
45,Парки,/Attraction_Review-g298484-d2342077-Reviews-Neskuchny_sad-Moscow_Central_Russia.html,attraction,,0,,2342077,Нескучный сад,691,,55.71063995,37.58383942,691,Русский(635)Английский(52)Китайский (упрощ.)(20),Русский635,Английский52,Китайский упрощ.,(20,
45,Театры,/Attraction_Review-g298484-d575080-Reviews-Catholic_Cathedral_of_The_Immaculate_Conception_of_The_Blessed_Virgin_Mary-Moscow_.html,attraction,,0,,575080,Римско-католический Кафедральный собор Непорочного Зачатия Пресвятой Девы Марии,669,7:00 - 20:00,55.76713562,37.57172394,669,Русский(535)Английский(78)Китайский (упрощ.)(19),Русский535,Английский78,Китайский упрощ.,(19,
45,"Музеи естествознания, Научные музеи",/Attraction_Review-g298484-d566288-Reviews-State_Darwin_Museum-Moscow_Central_Russia.html,attraction,,0,,566288,Государственный Дарвиновский музей,640,10:00 - 18:00,55.69108963,37.56145477,640,Русский(598)Английский(26)Французский(3),Русский598,Английский26,Французский3,,
45,Научные музеи,/Attraction_Review-g298484-d2351741-Reviews-Experimentanium_Science_Museum-Moscow_Central_Russia.html,attraction,,0,,2351741,Музей занимательных наук Экспериментаниум,635,9:30 - 19:00,55.80852127,37.51068497,635,Русский(604)Английский(22)Португальский(3),Русский604,Английский22,Португальский3,,
45,Памятники и статуи,/Attraction_Review-g298484-d536436-Reviews-Tomb_of_Unknown_Soldier-Moscow_Central_Russia.html,attraction,,0,,536436,Могила неизвестного солдата,633,,55.75350189,37.61233902,633,Английский(216)Русский(177)Испанский(61),Английский216,Русский177,Испанский61,,
45,Священные места и религиозные достопримечательности,/Attraction_Review-g298484-d530918-Reviews-Krutitskoe_Podvorye-Moscow_Central_Russia.html,attraction,,0,,530918,Крутицкое подворье,617,,55.72856903,37.65895081,617,Русский(560)Английский(22)Португальский(10),Русский560,Английский22,Португальский10,,
40,Торговые центры,/Attraction_Review-g298484-d543281-Reviews-Central_Children_s_Store-Moscow_Central_Russia.html,attraction,,0,,543281,Центральный Детский Магазин,582,9:00 - 22:00,55.75696182,37.61949539,582,Русский(436)Английский(65)Китайский (упрощ.)(23),Русский436,Английский65,Китайский упрощ.,(23,
50,Игровые и развлекательные центры,/Attraction_Review-g298484-d10252376-Reviews-Walk_in_the_Dark-Moscow_Central_Russia.html,attraction,,0,,10252376,Прогулка в темноте,568,10:00 - 22:00,55.70462036,37.64058304,568,Русский(562)Английский(6),Русский562,Английский6,,,
45,"Музеи естествознания, Научные музеи",/Attraction_Review-g298484-d575811-Reviews-Orlov_Paleontological_Museum-Moscow_Central_Russia.html,attraction,,0,,575811,Палеонтологический музей им. Ю.А. Орлова,552,,55.6242485,37.51421738,552,Русский(514)Английский(23)Португальский(5),Русский514,Английский23,Португальский5,,
45,"Военные музеи, Исторические музеи",/Attraction_Review-g298484-d302956-Reviews-Musee_de_la_Grande_Guerre_Patriotique-Moscow_Central_Russia.html,attraction,,0,,302956,Mus?e de la Grande Guerre Patriotique,536,10:00 - 22:00,55.7309494,37.5050087,536,Русский(189)Английский(168)Испанский(64),Русский189,Английский168,Испанский64,,
35,"Аквапарки, Спа, Термальные спа-центры",/Attraction_Review-g298484-d5259388-Reviews-Moreon_Aquapark-Moscow_Central_Russia.html,attraction,,0,,5259388,Мореон Аквапарк,519,10:00 - 22:00,55.59799194,37.52716064,519,Русский(507)Английский(9)Немецкий(1),Русский507,Английский9,Немецкий1,,
40,Культурные объекты и достопримечательности,/Attraction_Review-g298484-d300407-Reviews-Tsar_Bell_and_Tsar_Cannon-Moscow_Central_Russia.html,attraction,,0,,300407,Царь-колокол и царь-пушка,518,,55.75153351,37.61798859,518,Английский(168)Русский(162)Итальянский(40),Английский168,Русский162,Итальянский40,,
